"kill_death_ratio","kill_death_ratio_rival","map_name","win_stats","win_stats_rival","world_rank_position","world_rank_position_rival","winner"
1.1,1.1,dust2,0,66.7,15,16,1
1.1,1.1,dust2,66.7,0,16,15,0
1.05,1.08,nuke,25,20,7,12,1
1.08,1.05,nuke,20,25,12,7,0
1.05,0.94,dust2,80,0,6,14,1
0.94,1.05,dust2,0,80,14,6,0
1.05,1.1,overpass,50,50,6,16,1
1.1,1.05,overpass,50,50,16,6,0
1.05,1.1,dust2,80,66.7,6,16,1
1.1,1.05,dust2,66.7,80,16,6,0
1.1,1.05,inferno,83.3,50,16,6,1
1.05,1.1,inferno,50,83.3,6,16,0
1.09,0.98,vertigo,66.7,0,10,18,1
0.98,1.09,vertigo,0,66.7,18,10,0
1.09,0.98,mirage,63.6,100,10,18,1
0.98,1.09,mirage,100,63.6,18,10,0
1.1,1.05,inferno,33.3,50,24,6,1
1.05,1.1,inferno,50,33.3,6,24,0
1.05,1.1,dust2,50,66.7,11,16,1
1.1,1.05,dust2,66.7,50,16,11,0
1.05,1.1,mirage,0,33.3,11,16,1
1.1,1.05,mirage,33.3,0,16,11,0
1.05,0.92,dust2,80,0,6,22,1
0.92,1.05,dust2,0,80,22,6,0
1.05,0.92,inferno,50,50,6,22,1
0.92,1.05,inferno,50,50,22,6,0
0.92,1.05,mirage,25,50,22,6,1
1.05,0.92,mirage,50,25,6,22,0
1.05,0.98,inferno,50,71.4,11,18,1
0.98,1.05,inferno,71.4,50,18,11,0
1.05,0.98,dust2,50,40,11,18,1
0.98,1.05,dust2,40,50,18,11,0
0.96,1.05,inferno,50,50,25,6,1
1.05,0.96,inferno,50,50,6,25,0
0.96,1.05,vertigo,100,50,25,6,1
1.05,0.96,vertigo,50,100,6,25,0
1.05,1.06,mirage,50,75,6,3,1
1.06,1.05,mirage,75,50,3,6,0
1.05,1.06,train,50,80,6,3,1
1.06,1.05,train,80,50,3,6,0
1.06,1.05,dust2,0,80,3,6,1
1.05,1.06,dust2,80,0,6,3,0
1.04,1.22,vertigo,100,100,27,4,1
1.22,1.04,vertigo,100,100,4,27,0
1.04,1.22,mirage,0,75,27,4,1
1.22,1.04,mirage,75,0,4,27,0
1.05,1.1,dust2,50,50,11,20,1
1.1,1.05,dust2,50,50,20,11,0
1.05,1.1,mirage,0,0,11,20,1
1.1,1.05,mirage,0,0,20,11,0
1.1,1.05,nuke,71.4,100,20,11,1
1.05,1.1,nuke,100,71.4,11,20,0
1.1,1.05,inferno,62.5,71.4,15,7,1
1.05,1.1,inferno,71.4,62.5,7,15,0
1.1,1.05,dust2,0,37.5,15,7,1
1.05,1.1,dust2,37.5,0,7,15,0
1.05,1.1,dust2,80,66.7,6,16,1
1.1,1.05,dust2,66.7,80,16,6,0
1.05,1.1,train,50,50,6,16,1
1.1,1.05,train,50,50,16,6,0
1.1,1.05,inferno,83.3,50,16,6,1
1.05,1.1,inferno,50,83.3,6,16,0
1.13,1.04,nuke,50,66.7,1,27,1
1.04,1.13,nuke,66.7,50,27,1,0
1.13,1.04,mirage,83.3,0,1,27,1
1.04,1.13,mirage,0,83.3,27,1,0
1.09,1.1,overpass,66.7,80,10,24,1
1.1,1.09,overpass,80,66.7,24,10,0
0.96,1.09,vertigo,100,66.7,25,10,1
1.09,0.96,vertigo,66.7,100,10,25,0
1.1,1.07,nuke,80,100,16,13,1
1.07,1.1,nuke,100,80,13,16,0
1.1,1.07,overpass,50,25,16,13,1
1.07,1.1,overpass,25,50,13,16,0
1.07,1.1,dust2,80,66.7,13,16,1
1.1,1.07,dust2,66.7,80,16,13,0
1.05,1.07,overpass,50,71.4,11,17,1
1.07,1.05,overpass,71.4,50,17,11,0
1.05,1.07,dust2,50,0,11,17,1
1.07,1.05,dust2,0,50,17,11,0
1.05,1.1,dust2,50,66.7,11,16,1
1.1,1.05,dust2,66.7,50,16,11,0
1.05,1.1,mirage,0,33.3,11,16,1
1.1,1.05,mirage,33.3,0,16,11,0
1.09,1.1,train,0,33.3,10,24,1
1.1,1.09,train,33.3,0,24,10,0
1.09,1.1,nuke,66.7,50,10,24,1
1.1,1.09,nuke,50,66.7,24,10,0
1.04,1.09,inferno,28.6,80,23,10,0
1.09,1.04,inferno,80,28.6,10,23,1
1.04,1.09,mirage,33.3,63.6,23,10,1
1.09,1.04,mirage,63.6,33.3,10,23,0
1.04,1.09,train,100,0,23,10,1
1.09,1.04,train,0,100,10,23,0
1.07,1.1,nuke,62.5,80,17,16,1
1.1,1.07,nuke,80,62.5,16,17,0
1.07,1.1,mirage,50,33.3,17,16,1
1.1,1.07,mirage,33.3,50,16,17,0
0.92,1.05,mirage,25,75,22,7,1
1.05,0.92,mirage,75,25,7,22,0
0.92,1.05,nuke,60,25,22,7,1
1.05,0.92,nuke,25,60,7,22,0
0.92,1.05,mirage,25,0,22,11,1
1.05,0.92,mirage,0,25,11,22,0
0.92,1.05,inferno,50,50,22,11,1
1.05,0.92,inferno,50,50,11,22,0
1.1,1.1,overpass,80,50,20,15,1
1.1,1.1,overpass,50,80,15,20,0
1.1,1.1,dust2,50,0,20,15,1
1.1,1.1,dust2,0,50,15,20,0
1.07,0.94,dust2,80,0,13,14,1
0.94,1.07,dust2,0,80,14,13,0
1.07,0.94,nuke,100,0,13,14,1
0.94,1.07,nuke,0,100,14,13,0
1.13,1.13,nuke,50,75,1,9,1
1.13,1.13,nuke,75,50,9,1,0
1.13,1.13,vertigo,0,0,1,9,1
1.13,1.13,vertigo,0,0,9,1,0
1.22,1.07,dust2,60,80,4,13,1
1.07,1.22,dust2,80,60,13,4,0
1.22,1.07,overpass,50,25,4,13,1
1.07,1.22,overpass,25,50,13,4,0
1.07,1.22,inferno,0,100,13,4,1
1.22,1.07,inferno,100,0,4,13,0
1.13,1.15,dust2,77.8,66.7,1,2,1
1.15,1.13,dust2,66.7,77.8,2,1,0
1.13,1.15,inferno,80,83.3,1,2,1
1.15,1.13,inferno,83.3,80,2,1,0
1.07,0.94,dust2,80,0,13,14,1
0.94,1.07,dust2,0,80,14,13,0
1.07,0.94,overpass,25,0,13,14,1
0.94,1.07,overpass,0,25,14,13,0
0.94,1.07,nuke,0,100,14,13,1
1.07,0.94,nuke,100,0,13,14,0
1.15,1.22,vertigo,100,100,2,4,1
1.22,1.15,vertigo,100,100,4,2,0
1.15,1.22,overpass,0,50,2,4,1
1.22,1.15,overpass,50,0,4,2,0
1.22,1.15,dust2,60,66.7,4,2,1
1.15,1.22,dust2,66.7,60,2,4,0
1.13,1.07,dust2,77.8,80,1,13,1
1.07,1.13,dust2,80,77.8,13,1,0
1.13,1.07,nuke,50,100,1,13,1
1.07,1.13,nuke,100,50,13,1,0
1.13,1.15,inferno,80,83.3,1,2,1
1.15,1.13,inferno,83.3,80,2,1,0
1.13,1.15,dust2,77.8,66.7,1,2,1
1.15,1.13,dust2,66.7,77.8,2,1,0
1.13,1.15,nuke,50,100,1,2,1
1.15,1.13,nuke,100,50,2,1,0
1.15,1.13,train,100,100,2,1,1
1.13,1.15,train,100,100,1,2,0
1.15,0.93,train,100,0,2,28,1
0.93,1.15,train,0,100,28,2,0
1.07,1.09,train,100,0,13,10,1
1.09,1.07,train,0,100,10,13,0
0.94,1.06,mirage,100,75,14,3,1
1.06,0.94,mirage,75,100,3,14,0
1.08,0.91,overpass,100,50,12,21,1
0.91,1.08,overpass,50,100,21,12,0
1.13,1.29,nuke,50,100,1,19,1
1.29,1.13,nuke,100,50,19,1,0
1.05,1.05,inferno,71.4,50,7,11,1
1.05,1.05,inferno,50,71.4,11,7,0
1.15,1.07,nuke,100,100,2,13,1
1.07,1.15,nuke,100,100,13,2,0
1.15,1.07,dust2,66.7,80,2,13,1
1.07,1.15,dust2,80,66.7,13,2,0
1.09,0.93,vertigo,66.7,100,10,28,1
0.93,1.09,vertigo,100,66.7,28,10,0
1.09,0.93,mirage,63.6,50,10,28,1
0.93,1.09,mirage,50,63.6,28,10,0
0.93,1.09,nuke,0,66.7,28,10,1
1.09,0.93,nuke,66.7,0,10,28,0
0.92,1.1,nuke,60,71.4,22,20,1
1.1,0.92,nuke,71.4,60,20,22,0
0.92,1.1,mirage,25,0,22,20,1
1.1,0.92,mirage,0,25,20,22,0
0.96,0.94,inferno,75,0,5,14,1
0.94,0.96,inferno,0,75,14,5,0
0.96,0.94,dust2,40,0,5,14,1
0.94,0.96,dust2,0,40,14,5,0
0.94,0.96,nuke,0,57.1,14,5,1
0.96,0.94,nuke,57.1,0,5,14,0
1.05,1.13,mirage,0,83.3,11,1,1
1.13,1.05,mirage,83.3,0,1,11,0
1.05,1.13,train,66.7,100,11,1,1
1.13,1.05,train,100,66.7,1,11,0
0.91,1.22,inferno,37.5,100,21,4,1
1.22,0.91,inferno,100,37.5,4,21,0
1.22,0.91,mirage,75,25,4,21,1
0.91,1.22,mirage,25,75,21,4,0
1.22,0.91,dust2,60,100,4,21,1
0.91,1.22,dust2,100,60,21,4,0
1.09,0.94,mirage,63.6,100,10,14,1
0.94,1.09,mirage,100,63.6,14,10,0
1.09,0.94,train,0,50,10,14,1
0.94,1.09,train,50,0,14,10,0
1.06,1.07,train,80,100,3,13,1
1.07,1.06,train,100,80,13,3,0
1.06,1.07,inferno,63.6,0,3,13,1
1.07,1.06,inferno,0,63.6,13,3,0
1.05,1.29,mirage,75,57.1,7,19,1
1.29,1.05,mirage,57.1,75,19,7,0
1.05,1.29,overpass,80,100,7,19,1
1.29,1.05,overpass,100,80,19,7,0
1.07,1.05,dust2,0,80,17,6,1
1.05,1.07,dust2,80,0,6,17,0
1.07,1.05,inferno,42.9,50,17,6,1
1.05,1.07,inferno,50,42.9,6,17,0
1.29,1.22,mirage,57.1,75,19,4,1
1.22,1.29,mirage,75,57.1,4,19,0
1.29,1.22,nuke,100,0,19,4,1
1.22,1.29,nuke,0,100,4,19,0
1.15,0.96,vertigo,100,0,2,5,1
0.96,1.15,vertigo,0,100,5,2,0
1.15,0.96,dust2,66.7,40,2,5,1
0.96,1.15,dust2,40,66.7,5,2,0
1.06,1.09,overpass,66.7,66.7,3,10,1
1.09,1.06,overpass,66.7,66.7,10,3,0
1.06,1.09,inferno,63.6,80,3,10,1
1.09,1.06,inferno,80,63.6,10,3,0
1.08,1.05,overpass,100,80,12,7,1
1.05,1.08,overpass,80,100,7,12,0
1.08,1.05,inferno,100,71.4,12,7,1
1.05,1.08,inferno,71.4,100,7,12,0
1.29,1.05,inferno,80,50,19,11,1
1.05,1.29,inferno,50,80,11,19,0
1.05,1.29,dust2,50,100,11,19,1
1.29,1.05,dust2,100,50,19,11,0
1.05,1.29,mirage,0,57.1,11,19,1
1.29,1.05,mirage,57.1,0,19,11,0
1.07,0.92,dust2,0,0,17,22,1
0.92,1.07,dust2,0,0,22,17,0
1.07,0.92,mirage,50,25,17,22,1
0.92,1.07,mirage,25,50,22,17,0
1.06,1.05,dust2,0,37.5,3,7,1
